,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,19572024,1.0,False,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3.0,6.0,14,279.0,3,300,True,6,3,4.69,False,46.5,837.0,0.09,0.16,0.14,4.99,0.0,470.0
1,2973384,0.38,False,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3.0,3.0,7,185.0,6,21,True,0,0,4.83,False,37.0,1110.0,0.06,0.12,0.18,4.99,0.0,470.0
2,34985473,1.0,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,2.0,4.0,4,135.0,6,1125,True,7,0,4.43,False,27.0,810.0,0.08,0.13,0.17,4.99,0.0,470.0
3,44174770,1.0,True,Watergraafsmeer,52.33715,4.95199,Private room,1,1.0,1.0,8,59.0,30,1125,True,0,0,4.88,True,59.0,1770.0,0.05,0.12,0.15,2.99,0.0,470.0
4,50065811,0.92,False,Bijlmer-Centrum,52.272964,4.970106,Entire home/apt,6,3.0,4.0,14,275.0,5,42,True,18,1,4.14,False,45.83,1375.0,0.02,0.15,0.28,4.99,0.0,635.0
5,51340421,0.64,False,Watergraafsmeer,52.33325,4.93847,Entire home/apt,4,2.0,2.0,11,275.0,1,1125,True,10,3,4.73,False,68.75,275.0,0.11,0.15,0.23,4.99,0.0,635.0
6,18082645,0.29,False,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6,4.0,2.0,6,150.0,4,1125,True,1,1,4.88,False,25.0,600.0,0.09,0.13,0.18,4.99,0.0,470.0
7,47709873,1.0,False,Westerpark,52.39589,4.87612,Entire home/apt,2,1.0,1.0,6,210.0,3,120,True,0,0,4.75,True,105.0,630.0,0.09,0.15,0.19,4.99,0.0,470.0
8,2818,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2,1.0,2.0,4,49.0,3,28,True,3,4,4.47,True,24.5,147.0,0.08,0.1,0.14,0.99,0.0,750.0
9,44391,0.6699999999999999,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4,2.0,2.0,1,240.0,3,730,True,0,0,4.71,False,60.0,720.0,0.09,0.17,0.29,4.99,0.0,750.0
10,49552,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3,2.0,2.0,5,232.0,3,1125,True,0,8,4.91,False,77.33,696.0,0.1,0.25,0.25,4.99,0.0,750.0
11,55709,0.19000000000000006,False,Centrum-Oost,52.358112,4.897637,Entire home/apt,2,1.0,1.0,5,151.0,3,30,True,0,0,4.95,False,75.5,453.0,0.09,0.19,0.24,4.99,0.0,750.0
12,55868,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4,2.0,2.0,1,149.0,4,21,True,0,0,4.86,False,37.25,596.0,0.06,0.14,0.18,4.99,0.0,750.0
13,80635,0.87,True,Centrum-West,52.37828,4.8944,Private room,1,1.0,1.0,1,82.0,3,1125,True,0,0,4.77,True,82.0,246.0,0.05,0.11,0.15,4.99,0.0,750.0
14,97476,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2,1.0,1.0,10,115.0,14,30,True,0,0,4.89,False,57.5,1610.0,0.07,0.14,0.18,4.99,0.0,750.0
15,137026,0.14,False,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4,4.0,4.0,11,265.0,2,1125,True,0,0,4.77,False,66.25,530.0,0.13,0.25,0.27,4.99,0.0,750.0
16,162467,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2,1.0,1.0,4,175.0,3,21,True,0,0,4.75,False,87.5,525.0,0.06,0.14,0.19,4.99,0.0,750.0
17,168769,0.65,True,Centrum-West,52.37956,4.89359,Private room,1,1.0,1.0,3,88.0,3,1124,True,0,0,4.58,True,88.0,264.0,0.04,0.07,0.18,4.99,0.0,750.0
18,169356,0.44000000000000006,False,Centrum-West,52.38104,4.88306,Entire home/apt,2,1.0,1.0,11,195.0,7,7,True,0,0,5.0,False,97.5,1365.0,0.06,0.13,0.21,4.99,0.0,750.0
19,179528,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3,2.0,2.0,10,270.0,21,100,True,6,0,4.5,True,90.0,5670.0,0.08,0.21,0.28,4.99,0.0,750.0
20,188347,0.77,False,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2,1.0,1.0,3,111.0,1,6,True,4,0,4.65,False,55.5,111.0,0.07,0.12,0.19,4.99,0.0,750.0
21,193038,1.0,True,Centrum-Oost,52.36057,4.89671,Private room,2,1.0,1.0,4,121.0,3,31,True,2,5,4.96,True,60.5,363.0,0.07,0.15,0.18,4.99,0.0,750.0
22,214531,0.5,True,Centrum-West,52.37169,4.89446,Private room,3,1.0,2.0,5,115.0,3,50,True,0,0,4.83,False,38.33,345.0,0.1,0.13,0.18,4.99,0.0,750.0
23,222516,1.0,False,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,2,1.0,1.0,8,119.0,7,21,True,0,1,4.71,False,59.5,833.0,0.07,0.15,0.2,4.99,0.0,750.0
24,245927,1.0,True,Centrum-West,52.36815,4.88604,Entire home/apt,4,2.0,3.0,23,515.0,2,180,True,0,1,4.58,True,128.75,1030.0,0.1,0.22,0.25,10.99,0.0,750.0
25,252080,0.74,False,Centrum-Oost,52.36936,4.90963,Entire home/apt,4,2.0,2.0,16,385.0,4,30,True,0,0,4.89,False,96.25,1540.0,0.06,0.23,0.16,4.99,0.0,750.0
26,274688,0.36,False,Bos en Lommer,52.37977,4.85574,Entire home/apt,2,1.0,1.0,5,88.0,4,30,True,0,0,4.85,False,44.0,352.0,0.05,0.1,0.18,4.99,0.0,750.0
27,286374,0.38,False,Geuzenveld - Slotermeer,52.37725,4.83307,Entire home/apt,4,1.0,2.0,1,130.0,4,21,True,0,1,4.75,False,32.5,520.0,0.06,0.14,0.18,4.99,0.0,750.0
28,286500,0.8400000000000001,True,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,5,162.0,3,365,True,1,3,4.89,True,81.0,486.0,0.09,0.21,0.18,4.99,0.0,750.0
29,290701,1.0,True,Centrum-West,52.37561,4.9,Private room,2,1.0,1.0,4,161.0,3,365,True,3,6,4.85,True,80.5,483.0,0.08,0.19,0.2,4.99,0.0,750.0
30,291752,0.6,False,Oud-Oost,52.35179,4.91082,Private room,2,1.0,1.0,2,105.0,3,1125,True,1,0,4.86,False,52.5,315.0,0.06,0.17,0.16,4.99,0.0,750.0
31,304143,1.0,False,Oud-Oost,52.3623,4.92028,Entire home/apt,2,1.0,1.0,6,95.0,3,30,True,0,0,4.55,False,47.5,285.0,0.04,0.1,0.17,4.99,0.0,750.0
32,306852,0.79,False,Centrum-Oost,52.35931,4.89844,Entire home/apt,4,2.0,2.0,7,200.0,4,21,True,0,2,4.61,False,50.0,800.0,0.07,0.24,0.2,4.99,0.0,750.0
33,307621,0.51,False,Centrum-Oost,52.35871,4.89616,Entire home/apt,2,1.0,1.0,7,125.0,3,21,True,0,0,4.5,False,62.5,375.0,0.08,0.2,0.18,4.99,0.0,750.0
34,308028,0.55,False,Centrum-Oost,52.35972,4.8975,Private room,2,1.0,1.0,8,95.0,3,10,True,0,0,4.77,False,47.5,285.0,0.06,0.15,0.14,4.99,0.0,750.0
35,311124,0.38,False,Centrum-West,52.37104,4.87713,Entire home/apt,2,1.0,1.0,10,225.0,5,15,True,0,1,4.75,False,112.5,1125.0,0.06,0.13,0.17,4.99,0.0,750.0
